name,lon,lat,district,address,desc,category
广州塔,113.3240,23.1060,海珠区,广东省广州市海珠区阅江西路222号,广州地标性建筑总高600米，俗称小蛮腰，可乘电梯登顶488米观景台360度俯瞰珠江两岸和广州中轴线,建筑地标
花城广场,113.3260,23.1190,天河区,广东省广州市天河区花城大道,广州CBD核心的城市会客厅，广州大剧院和省博物馆等文化地标环绕四周，夜晚灯光秀和音乐喷泉是必看景观,城市公园
广东省博物馆,113.3270,23.1180,天河区,广东省广州市天河区珠江东路2号,外观如月光宝盒的省级博物馆，馆藏潮州木雕和端砚等岭南文化瑰宝，免费参观需预约,博物馆/纪念馆
广州大剧院,113.3250,23.1170,天河区,广东省广州市天河区珠江西路1号,由扎哈·哈迪德设计的前卫建筑如两块珠江边的砾石，声学效果世界一流，是广州的文化新名片,文化艺术
广州图书馆,113.3260,23.1190,天河区,广东省广州市天河区珠江东路4号,广州最大的公共图书馆，建筑设计如层叠的书籍，巨大的玻璃幕墙让阅读与城市景观融为一体,文化艺术
海心沙,113.3260,23.1140,天河区,广东省广州市天河区临江大道,珠江中的小岛曾是亚运会开幕式的举办地，岛上亚运公园和滨江步道是市民休闲和拍摄广州塔的最佳机位,城市公园
白云山,113.3000,23.1800,白云区,广东省广州市白云区广园中路,广州的市肺和最高峰摩星岭海拔382米，登顶可俯瞰广州全景，景区内能仁寺和鸣春谷是必游景点,自然风光
越秀公园,113.2730,23.1410,越秀区,广东省广州市越秀区解放北路,广州最大的综合性公园，镇海楼和五羊石像是广州的两大标志，明代古城墙和中山纪念碑讲述千年历史,自然风光
中山纪念堂,113.2700,23.1350,越秀区,广东省广州市越秀区东风中路299号,纪念孙中山先生的宏伟建筑，八角形宫殿式外观和内部无柱空间令人震撼，堂前孙中山铜像庄严肃穆,自然风光
陈家祠,113.2460,23.1290,荔湾区,广东省广州市荔湾区中山七路恩龙里34号,岭南建筑艺术的明珠被誉为广东民间工艺博物馆，石雕和木雕艺术精美绝伦是了解广府文化的必访之地,文化艺术
沙面,113.2440,23.1120,荔湾区,广东省广州市荔湾区沙面岛,珠江边的欧陆风情小岛，遍布19世纪英法领事馆和教堂旧址，百年古树掩映下的街道是广州最浪漫的拍照胜地,自然风光
上下九步行街,113.2480,23.1190,荔湾区,广东省广州市荔湾区上下九路,广州最老牌的商业步行街，骑楼建筑连绵数公里，莲香楼和陶陶居等百年老字号美食云集,美食街区
永庆坊,113.2380,23.1150,荔湾区,广东省广州市荔湾区恩宁路,广州最美老街由旧城微改造而成，李小龙祖居和粤剧博物馆坐落其中，文创小店和咖啡馆让老城焕发新生,历史街区
荔枝湾,113.2360,23.1230,荔湾区,广东省广州市荔湾区龙津西路,广州老西关的水乡风情区，乘花船游荔枝湾涌可赏两岸西关大屋，文塔和仁威庙是沿岸历史景点,历史街区
北京路步行街,113.2710,23.1250,越秀区,广东省广州市越秀区北京路,广州千年古道遗址就在脚下，玻璃路面下展示着唐宋至明清的历代路面，周边商场和美食林立,购物商圈
石室圣心大教堂,113.2620,23.1170,越秀区,广东省广州市越秀区一德路56号,全球四座全石构哥特式教堂之一，由法国传教士建于1863年，双塔高耸入云彩色玻璃绚丽夺目,宗教寺庙
南越王博物院,113.2640,23.1410,越秀区,广东省广州市越秀区解放北路867号,展示南越国第二代国王赵眜墓出土文物的遗址博物馆，丝缕玉衣是镇馆之宝可以走进墓室参观,历史遗迹
广州动物园,113.3100,23.1450,越秀区,广东省广州市越秀区先烈中路120号,广州最老牌的动物园拥有大熊猫和金丝猴等珍稀动物，海洋馆和恐龙世界深受小朋友喜爱,主题乐园
黄埔军校旧址,113.4290,23.0860,黄埔区,广东省广州市黄埔区长洲岛军校路170号,中国近代最著名的军事学府培养了大批名将，旧址保留原貌可以参观学员宿舍和教室感受历史,历史遗迹
南海神庙,113.4970,23.0850,黄埔区,广东省广州市黄埔区庙头村,中国四大海神庙之一始建于隋代，是古代海上丝绸之路的重要遗址，波罗诞庙会是广州最盛大的民间节庆,历史遗迹
岭南印象园,113.3980,23.0580,番禺区,广东省广州市番禺区大学城外环西路,展示岭南传统文化的主题园区，镬耳屋和蚝壳墙等特色建筑展现了老广州的民居风貌,文化艺术
长隆野生动物世界,113.3280,22.9950,番禺区,广东省广州市番禺区大石镇,中国最大的野生动物主题公园，自驾车穿越五大洲猛兽区，大熊猫三胞胎是全球唯一的奇迹,主题乐园
沙湾古镇,113.3470,22.9010,番禺区,广东省广州市番禺区沙湾镇,800年历史的岭南文化古镇，蚝壳屋和留耕堂是古镇两大看点，沙湾姜埋奶和鱼皮角是不能错过的地道小吃,历史街区
宝墨园,113.3150,22.8850,番禺区,广东省广州市番禺区沙湾镇紫坭村,集清官文化和岭南园林于一体的名园，大型砖雕和锦鲤池是其特色，清明上河图瓷塑令人叹为观止,文化艺术
海珠湿地公园,113.3500,23.0800,海珠区,广东省广州市海珠区新滘中路,广州城央最大的湿地公园，每年春季紫荆花和宫粉羊蹄甲盛开，万鸟归巢的景象壮观无比,自然风光
太古仓,113.2610,23.0930,海珠区,广东省广州市海珠区革新路124号,由百年老仓库改造的江边文创区，红砖建筑内汇聚了电影院和LiveHouse，日落时分江景无敌,文化艺术
中山大学,113.2980,23.1000,海珠区,广东省广州市海珠区新港西路135号,百年名校的康乐园校区古木参天红砖绿瓦，怀士堂和乙丑进士牌坊是校园最美打卡点,高校学府
TIT创意园,113.3200,23.0980,海珠区,广东省广州市海珠区新港中路397号,由旧纺织机械厂改造的创意园区，微信总部所在地，红砖厂房和涂鸦墙充满工业文艺风,文化艺术
琶醍啤酒文化创意区,113.3500,23.1050,海珠区,广东省广州市海珠区阅江西路,珠江畔的啤酒文化主题街区，可在江边吹着江风喝精酿啤酒，远眺广州塔夜景,文化艺术
正佳广场,113.3290,23.1320,天河区,广东省广州市天河区天河路228号,亚洲最大的购物中心之一，内有极地海洋世界和自然科学博物馆等大型室内景点,购物商圈
天河城,113.3250,23.1320,天河区,广东省广州市天河区天河路208号,中国最早的现代购物中心之一，天河商圈的核心商业地标，地铁直达交通便利,购物商圈
