name,lon,lat,district,address,desc,category
平安金融中心,114.0580,22.5430,福田区,广东省深圳市福田区益田路5033号,深圳第一高楼总高599米，云际观光层位于116层可360度俯瞰深圳全景，是深圳CBD最醒目的摩天地标,建筑地标
深圳市民中心,114.0600,22.5470,福田区,广东省深圳市福田区福中三路,深圳市政府所在地，大鹏展翅造型的建筑寓意深圳的腾飞，市民广场是深圳文化活动和灯光秀的核心场地,购物商圈
深圳当代艺术与城市规划馆,114.0590,22.5480,福田区,广东省深圳市福田区福中路184号,深圳最前卫的文化地标，建筑外观如扭曲的金属云朵，馆内展示深圳城市规划和当代艺术,文化艺术
莲花山公园,114.0620,22.5530,福田区,广东省深圳市福田区红荔路6030号,福田中心区的城市山体公园，山顶邓小平铜像是深圳的精神地标，可俯瞰市民中心中轴线全景,自然风光
深圳博物馆,114.0610,22.5460,福田区,广东省深圳市福田区福中路市民中心A区,展示深圳从边陲小镇到国际都市的改革开放历史，是了解深圳速度的最佳窗口,博物馆/纪念馆
深圳音乐厅,114.0590,22.5450,福田区,广东省深圳市福田区福中一路2016号,由日本建筑师矶崎新设计的金色音乐殿堂，深圳交响乐团常驻演出地，每年上演数百场音乐会,文化艺术
COCO Park,114.0550,22.5370,福田区,广东省深圳市福田区福华三路268号,福田CBD核心开放式购物公园，餐饮酒吧和时尚品牌汇聚，夜晚灯光璀璨是深圳年轻人的聚集地,购物商圈
华强北,114.0890,22.5460,福田区,广东省深圳市福田区华强北路,中国电子第一街，全球最大的电子产品集散地，从芯片到无人机应有尽有，是深圳创新活力的缩影,购物商圈
深圳中心书城,114.0600,22.5470,福田区,广东省深圳市福田区福中一路2014号,深圳最大的综合书店，24小时书吧是深圳人的深夜书房，周末的文化讲座和签售活动吸引大量读者,文化艺术
笔架山公园,114.0760,22.5620,福田区,广东省深圳市福田区梅岗路,福田北部的城市山林公园，登山步道蜿蜒在原始次生林中，登顶可远眺深圳湾和香港新界,自然风光
京基100,114.1080,22.5450,罗湖区,广东省深圳市罗湖区深南东路5016号,深圳第二高楼高441米，100层的瑞吉酒店是深圳最高酒店，建筑外观如利剑直插云霄,建筑地标
地王大厦,114.1090,22.5430,罗湖区,广东省深圳市罗湖区深南东路5002号,深圳90年代第一高楼，69层顶楼的观光层是深圳最早的空中观景平台，见证了罗湖的辉煌岁月,建筑地标
东门老街,114.1180,22.5470,罗湖区,广东省深圳市罗湖区东门中路,深圳最老牌的商业步行街，从明清时期就已存在，如今是深圳小吃最集中的地方，各种地道美食应有尽有,美食街区
万象城,114.1060,22.5400,罗湖区,广东省深圳市罗湖区宝安南路1881号,深圳最高端的购物中心之一，汇集LV和Gucci等国际奢侈品牌，溜冰场和高端餐饮是特色,购物商圈
仙湖植物园,114.1700,22.5800,罗湖区,广东省深圳市罗湖区莲塘仙湖路160号,深圳最美的植物园，弘法寺坐落园中香火鼎盛，化石森林和仙人掌温室是两大看点,自然风光
梧桐山,114.1950,22.5750,罗湖区,广东省深圳市罗湖区梧桐山风景区,深圳最高峰海拔943米，是深圳的市肺和登山圣地，登顶可俯瞰盐田港和深圳全境,自然风光
深圳大剧院,114.1070,22.5440,罗湖区,广东省深圳市罗湖区深南东路5018号,深圳最早的现代化大剧院，外观如巨大的三角钢琴，是深圳交响乐团和国内外顶级演出的殿堂,文化艺术
世界之窗,113.9780,22.5370,南山区,广东省深圳市南山区深南大道9037号,深圳最经典的主题乐园，汇集了埃菲尔铁塔和金字塔等世界著名景点的微缩版，夜晚的大型演出震撼人心,主题乐园
欢乐谷,113.9850,22.5430,南山区,广东省深圳市南山区侨城西街,深圳最大的主题游乐园，拥有亚洲最高过山车弹射式和激流勇进等上百个项目，万圣节派对是深圳年度盛事,主题乐园
锦绣中华民俗村,113.9820,22.5400,南山区,广东省深圳市南山区深南大道9003号,中国最早的文化主题公园，展示中国各地标志性建筑微缩景观和少数民族风情表演,主题乐园
华侨城创意园,113.9750,22.5430,南山区,广东省深圳市南山区恩平街,由旧厂房改造的深圳最文艺创意园区，独立书店和画廊散布其中，每月首个周末的创意市集最是热闹,文化艺术
深圳湾公园,113.9560,22.5210,南山区,广东省深圳市南山区滨海大道,沿着深圳湾海岸线延伸15公里的城市滨海公园，是骑行跑步和观赏候鸟的最佳场所，对面就是香港,自然风光
深圳人才公园,113.9500,22.5150,南山区,广东省深圳市南山区科苑南路,深圳湾畔的科技主题公园，以人才星光桥和π桥著称，夜晚灯光秀与春笋大厦交相辉映,建筑地标
