name,lon,lat,district,address,desc,category
外滩,121.4906,31.2378,黄浦区,上海市黄浦区中山东一路,"上海最具标志性的滨水景观带，万国建筑博览群临江而立，隔江相望陆家嘴摩天楼群，夜景金碧辉煌被誉为""东方华爾街""",建筑地标
南京路步行街,121.4846,31.2375,黄浦区,上海市黄浦区南京东路,上海最繁华的商业步行街，全长约1.2公里，汇集数百家老字号和现代品牌，霓虹闪烁中百年商街演绎着摩登与繁华的交响,购物商圈
豫园,121.4930,31.2293,黄浦区,上海市黄浦区福佑路168号,始建于明代的江南古典园林，亭台楼阁错落有致，九曲桥和湖心亭是其标志景观，毗邻的豫园商城美食云集,自然风光
新天地,121.4764,31.2212,黄浦区,上海市黄浦区太仓路181号,由石库门老建筑改造而成的时尚商业区，融合了国际化餐饮、设计师品牌和艺术空间，是上海新旧的完美交汇,文化艺术
人民广场,121.4760,31.2320,黄浦区,上海市黄浦区人民大道,上海市中心最大的公共广场，周围环绕上海博物馆、上海大剧院和市政府大楼，是城市的心脏地带,文化艺术
上海博物馆,121.4765,31.2330,黄浦区,上海市黄浦区人民大道201号,"收藏中国青铜器、陶瓷和书画的顶级博物馆，免费开放，建筑造型取自""天圆地方""的古代宇宙观",博物馆/纪念馆
田子坊,121.4710,31.2120,黄浦区,上海市黄浦区泰康路210弄,由老弄堂改造的文艺创意街区，狭窄巷道中藏着独立画廊、手作工坊和特色小吃，充满市井艺术气息,历史街区
城隍庙,121.4925,31.2290,黄浦区,上海市黄浦区方浜中路249号,上海最古老的道教庙宇之一，香火鼎盛，周边的小吃广场可以品尝正宗南翔小笼和蟹粉汤包,宗教寺庙
外白渡桥,121.4910,31.2450,黄浦区,上海市黄浦区北苏州路外白渡桥,横跨苏州河的百年钢桁架桥，是上海的标志性地标，登桥可同时拍摄外滩和陆家嘴交相辉映,建筑地标
豫园商城,121.4925,31.2295,黄浦区,上海市黄浦区豫园老路,毗邻豫园的传统风格商业区，青瓦白墙的仿古建筑内聚集了老字号小吃、黄金珠宝和传统手工艺品,美食街区
静安寺,121.4508,31.2262,静安区,上海市静安区南京西路1686号,位于繁华商业中心的千年古刹，金碧辉煌的大雄宝殿在摩天楼群中静静矗立，香火与梵音为喧嚣都市注入安宁的古韵,宗教寺庙
愚园路,121.4370,31.2230,静安区,上海市静安区愚园路,上海最文艺的百年老街之一，梧桐树影婆娑，沿街藏着独立书店、精品咖啡馆和设计师买手店，是Citywalk的绝佳路线,历史街区
上海展览中心,121.4540,31.2300,静安区,上海市静安区延安中路1000号,建于1955年的俄罗斯古典主义风格建筑群，尖顶红星是上海的地标之一，常年举办各类展览和时尚活动,文化艺术
武康大楼,121.4383,31.2044,徐汇区,上海市徐汇区淮海中路1850号,上海最具辨识度的历史建筑，由匈牙利建筑师邬达克设计，船形外观在淮海路口格外醒目，是无数游客打卡的网红地标,建筑地标
龙华寺,121.4500,31.1730,徐汇区,上海市徐汇区龙华路2853号,上海最古老的佛教寺院之一，始建于三国时期，千年古塔高耸入云，每年除夕的撞钟仪式吸引数万市民,宗教寺庙
衡山路,121.4500,31.2070,徐汇区,上海市徐汇区衡山路,上海最著名的梧桐大道，沿街分布着百年老洋房、精品酒店和情调酒吧，秋天落叶铺满街道格外浪漫,自然风光
徐家汇天主教堂,121.4410,31.1940,徐汇区,上海市徐汇区蒲西路158号,上海最大的哥特式天主教堂，双尖塔高耸入云，玫瑰窗在阳光照射下流光溢彩，内部庄严肃穆,宗教寺庙
上海植物园,121.4500,31.1510,徐汇区,上海市徐汇区龙吴路1111号,拥有上万种植物的大型植物园，春季樱花和郁金香盛开，秋季菊花展和盆景园引人入胜，是四季赏花好去处,自然风光
中山公园,121.4160,31.2240,长宁区,上海市长宁区长宁路780号,以英式园林风格为主的大型城市公园，有巨大的草坪和百年梧桐，园内还有龙之梦购物中心和地铁枢纽,自然风光
上海动物园,121.3700,31.1980,长宁区,上海市长宁区虹桥路2381号,中国最早的现代动物园之一，拥有大熊猫和金丝猴等珍稀动物，园区内绿树成荫适合亲子出游,自然风光
东方明珠,121.5050,31.2410,浦东新区,上海市浦东新区世纪大道1号,上海最具辨识度的城市地标，高468米的电视塔由多颗球体串联而成，登塔可360度俯瞰浦江两岸壮丽景色,建筑地标
上海中心大厦,121.5070,31.2370,浦东新区,上海市浦东新区陆家嘴银城中路501号,"中国第一高楼总高632米，外观螺旋上升如巨龙擎天，118层观光厅号称""上海之巅""",建筑地标
陆家嘴,121.5030,31.2390,浦东新区,上海市浦东新区陆家嘴金融贸易区,中国最具影响力的金融中心，三件套（上海中心、环球金融中心、金茂大厦）耸立云霄，天际线令人震撼,建筑地标
上海科技馆,121.5430,31.2200,浦东新区,上海市浦东新区世纪大道2000号,集科普教育和互动体验于一体的大型科技馆，拥有IMAX巨幕影院和众多动手实验区，深受青少年喜爱,博物馆/纪念馆
世纪公园,121.5430,31.2130,浦东新区,上海市浦东新区锦绣路1001号,上海最大的城市生态公园，有大片草坪和镜天湖，春季梅花节和夏季荷花节吸引无数游客,自然风光
上海迪士尼乐园,121.6690,31.1440,浦东新区,上海市浦东新区川沙镇申迪西路,中国大陆首座迪士尼主题乐园，奇幻童话城堡是全球最大的迪士尼城堡，烟花秀每晚点亮夜空,主题乐园
世博园,121.4900,31.1900,浦东新区,上海市浦东新区世博大道,2010年上海世博会会址，保留了中华艺术宫等标志性建筑，滨江步道和世博公园是市民休闲胜地,城市公园
梅赛德斯奔驰文化中心,121.4960,31.1880,浦东新区,上海市浦东新区世博大道1200号,世博园区内的标志性飞碟造型场馆，现为顶级演唱会和体育赛事举办地，江景视野绝佳,文化艺术
上海邮政博物馆,121.4848,31.2444,虹口区,上海市虹口区天潼路395号,展示中国邮政历史文化的专业博物馆，建筑本身是百年历史的邮政总局大楼，玻璃穹顶大厅令人惊艳,博物馆/纪念馆
1933老场坊,121.4960,31.2580,虹口区,上海市虹口区溧阳路611号,由1933年建造的远东最大宰牲场改造而成的创意园区，独特的无梁楼盖和廊桥结构堪称建筑奇迹,文化艺术
