name,lon,lat,district,address,desc,category
三坊七巷,119.2965,26.0745,鼓楼区,福建省福州市鼓楼区南后街,"福州最著名的历史文化街区，被誉为""中国城市里坊制度的活化石""，拥有大量明清时期的古建筑群，林则徐、严复等名人曾在此居住，巷弄交错充满了老福州的烟火气",历史街区
林则徐纪念馆,119.2960,26.0758,鼓楼区,福建省福州市鼓楼区澳门路16号,位于三坊七巷内的林则徐出生地，展示林则徐生平事迹的专题纪念馆，红墙青瓦的古建筑群中藏有大量珍贵文物,历史街区
南后街牌坊,119.2968,26.0740,鼓楼区,福建省福州市鼓楼区南后街北口,"三坊七巷的主入口标志性牌坊，上面镌刻""三坊七巷""四个大字，是游客打卡必经之地，两侧古厝林立",历史街区
达明美食街,119.2955,26.0760,鼓楼区,福建省福州市鼓楼区达明路,紧邻三坊七巷的福州著名美食街，汇集了鱼丸、肉燕、锅边糊等福州地道小吃，夜市热闹非凡,美食街区
文儒坊,119.2958,26.0735,鼓楼区,福建省福州市鼓楼区文儒坊,三坊七巷中最具代表性的坊巷之一，因历代居住文人众多而得名，青石板路和雕花门楼保存完好,历史街区
衣锦坊,119.2970,26.0738,鼓楼区,福建省福州市鼓楼区衣锦坊,三坊七巷中的古坊巷，巷内有许多明清官宦宅第和名人故居，石墙斑驳记录着百年烟云,历史街区
东街口,119.3020,26.0830,鼓楼区,福建省福州市鼓楼区八一七北路与东街交叉口,福州最繁华的商业中心，汇聚了各大商场和美食街，附近还有著名的三坊七巷入口，是感受现代福州与老福州交融的核心地带,历史街区
福州西湖公园,119.2940,26.0920,鼓楼区,福建省福州市鼓楼区湖滨路70号,福州保存最完整的古典园林，历史可追溯至晋代，湖中有开化寺和宛在堂，春日柳树依依，秋日菊花烂漫，是市民休闲散步的绝佳去处,城市公园
福建博物院,119.2950,26.0910,鼓楼区,福建省福州市鼓楼区湖头街96号,位于西湖公园畔的省级综合性博物馆，馆藏丰富涵盖闽越文化、海上丝绸之路和福建古代文明，建筑设计融合闽派风格,城市公园
左海公园,119.2920,26.0950,鼓楼区,福建省福州市鼓楼区铜盘路29号,与西湖公园相连的综合性公园，内有左海海底世界和摩天轮，湖光山色交相辉映，是家庭周末出游的好去处,城市公园
